iter	Passed	Remaining
0	60	60100
1	60	30198
2	60	20240
3	61	15259
4	61	12257
5	61	10268
6	62	8835
7	62	7762
8	62	6927
9	63	6282
10	63	5738
11	64	5290
12	64	4912
13	65	4585
14	65	4305
15	66	4060
16	66	3840
17	66	3640
18	67	3466
19	67	3305
20	67	3162
21	68	3030
22	68	2911
23	68	2799
24	69	2695
25	69	2602
26	69	2513
27	70	2431
28	70	2354
29	70	2288
30	71	2221
31	71	2160
32	71	2100
33	71	2045
34	72	1992
35	72	1944
36	72	1897
37	73	1852
38	73	1811
39	73	1772
40	74	1738
41	74	1701
42	74	1667
43	75	1633
44	75	1603
45	75	1573
46	76	1544
47	76	1517
48	76	1491
49	77	1465
50	77	1440
51	77	1417
52	78	1394
53	78	1373
54	78	1354
55	79	1333
56	79	1314
57	79	1295
58	80	1277
59	80	1259
60	80	1241
61	80	1224
62	81	1208
63	81	1193
64	81	1179
65	82	1166
66	82	1153
67	83	1139
68	83	1126
69	83	1113
70	84	1100
71	84	1088
72	84	1076
73	84	1063
74	85	1051
75	85	1041
76	86	1030
77	86	1020
78	86	1010
79	86	1000
80	87	990
81	87	981
82	88	972
83	88	963
84	88	954
85	89	946
86	89	939
87	89	929
88	89	920
89	90	912
90	90	904
91	90	896
92	91	888
93	91	881
94	91	874
95	92	866
96	92	858
97	92	851
98	92	845
99	93	838
100	93	832
101	93	826
102	94	820
103	94	814
104	94	809
105	95	804
106	95	798
107	95	792
108	96	786
109	96	780
110	96	775
111	97	770
112	97	765
113	97	760
114	98	754
115	98	749
116	98	745
117	99	740
118	99	735
119	99	730
120	99	726
121	100	721
122	100	717
123	100	712
124	101	708
125	101	705
126	101	700
127	102	696
128	102	692
129	102	688
130	103	685
131	103	681
132	103	677
133	104	673
134	104	670
135	104	666
136	105	662
137	105	658
138	105	655
139	106	652
140	106	649
141	107	646
142	107	643
143	107	639
144	107	636
145	108	633
146	108	629
147	108	626
148	109	624
149	109	622
150	110	619
151	110	615
152	110	613
153	111	609
154	111	605
155	111	603
156	111	600
157	112	598
158	112	595
159	113	593
160	113	590
161	113	587
162	113	585
163	114	582
164	114	579
165	114	577
166	115	575
167	115	572
168	115	570
169	116	568
170	116	565
171	117	563
172	117	561
173	117	559
174	118	557
175	118	554
176	118	552
177	119	551
178	119	548
179	119	546
180	120	544
181	120	541
182	120	539
183	121	537
184	121	535
185	122	533
186	122	531
187	122	530
188	123	528
189	123	526
190	123	523
191	124	521
192	124	519
193	124	517
194	125	516
195	125	514
196	125	512
197	126	511
198	126	509
199	127	508
200	127	506
201	127	504
202	128	502
203	128	501
204	128	499
205	129	497
206	129	496
207	129	494
208	130	493
209	130	491
210	131	490
211	131	488
212	131	487
213	132	485
214	132	484
215	132	482
216	133	481
217	133	479
218	134	477
219	134	476
220	134	474
221	135	473
222	135	471
223	135	470
224	136	468
225	136	467
226	136	465
227	137	464
228	137	462
229	137	461
230	138	460
231	138	458
232	138	457
233	139	455
234	139	454
235	140	453
236	140	452
237	140	450
238	141	449
239	141	448
240	142	447
241	142	445
242	142	444
243	143	443
244	143	441
245	143	440
246	143	438
247	144	437
248	144	435
249	144	434
250	145	433
251	145	431
252	145	430
253	146	429
254	146	428
255	146	426
256	147	425
257	147	424
258	147	422
259	148	421
260	148	420
261	148	418
262	149	417
263	149	416
264	149	415
265	150	414
266	150	413
267	150	412
268	151	410
269	151	409
270	151	408
271	152	407
272	152	406
273	152	404
274	153	403
275	153	402
276	153	401
277	154	400
278	154	399
279	154	398
280	155	396
281	155	395
282	155	394
283	156	393
284	156	392
285	156	391
286	157	390
287	157	389
288	157	388
289	158	386
290	158	385
291	158	384
292	159	383
293	159	383
294	159	382
295	160	381
296	160	380
297	161	379
298	161	378
299	161	377
300	162	376
301	162	375
302	162	374
303	163	373
304	163	372
305	163	371
306	164	371
307	164	370
308	165	369
309	165	368
310	165	367
311	166	366
312	166	365
313	166	364
314	167	363
315	167	362
316	167	361
317	168	360
318	168	359
319	168	358
320	168	357
321	169	356
322	169	355
323	169	354
324	170	353
325	170	352
326	170	351
327	170	350
328	171	349
329	171	347
330	171	346
331	171	345
332	172	344
333	172	344
334	172	342
335	173	341
336	173	341
337	173	340
338	173	338
339	174	338
340	174	337
341	174	336
342	174	335
343	175	334
344	175	333
345	175	332
346	176	331
347	176	330
348	176	329
349	176	328
350	177	327
351	177	326
352	177	325
353	178	324
354	178	324
355	178	323
356	178	322
357	179	321
358	179	320
359	179	319
360	179	318
361	180	317
362	180	316
363	180	315
364	181	315
365	181	314
366	181	313
367	181	312
368	182	311
369	182	310
370	182	309
371	182	308
372	183	308
373	183	307
374	183	306
375	184	305
376	184	304
377	184	303
378	184	303
379	185	302
380	185	301
381	185	300
382	186	299
383	186	298
384	186	298
385	186	297
386	187	296
387	187	295
388	187	294
389	187	293
390	188	293
391	188	292
392	188	291
393	189	290
394	189	289
395	189	289
396	189	288
397	190	287
398	190	286
399	190	285
400	190	285
401	191	284
402	191	283
403	191	282
404	192	282
405	192	281
406	192	280
407	192	279
408	193	279
409	193	278
410	193	277
411	194	276
412	194	276
413	194	275
414	194	274
415	195	273
416	195	273
417	195	272
418	195	271
419	196	270
420	196	270
421	196	269
422	197	268
423	197	268
424	197	267
425	197	266
426	198	265
427	198	265
428	198	264
429	198	263
430	199	262
431	199	262
432	199	261
433	200	260
434	200	260
435	200	259
436	200	258
437	201	258
438	201	257
439	201	256
440	201	256
441	202	255
442	202	254
443	202	253
444	203	253
445	203	252
446	203	251
447	203	251
448	204	250
449	204	249
450	204	249
451	204	248
452	205	247
453	205	247
454	205	246
455	205	245
456	206	245
457	206	244
458	206	243
459	207	243
460	207	242
461	207	241
462	207	241
463	208	240
464	208	239
465	208	239
466	209	238
467	209	237
468	209	237
469	209	236
470	210	235
471	210	235
472	210	234
473	210	234
474	211	233
475	211	232
476	211	232
477	212	231
478	212	230
479	212	230
480	212	229
481	213	229
482	213	228
483	213	227
484	214	227
485	214	226
486	214	226
487	214	225
488	215	224
489	215	224
490	215	223
491	216	223
492	216	222
493	216	221
494	216	221
495	217	220
496	217	220
497	217	219
498	217	218
499	218	218
500	218	217
501	218	216
502	219	216
503	219	215
504	219	215
505	219	214
506	220	214
507	220	213
508	220	212
509	220	212
510	221	211
511	221	211
512	221	210
513	222	210
514	222	209
515	222	208
516	222	208
517	223	207
518	223	207
519	223	206
520	224	205
521	224	205
522	224	204
523	224	204
524	225	203
525	225	203
526	225	202
527	226	202
528	226	201
529	226	200
530	226	200
531	227	199
532	227	199
533	227	198
534	228	198
535	228	197
536	228	197
537	228	196
538	229	195
539	229	195
540	229	194
541	229	194
542	230	193
543	230	193
544	230	192
545	230	192
546	231	191
547	231	190
548	231	190
549	232	189
550	232	189
551	232	188
552	232	188
553	233	187
554	233	187
555	233	186
556	233	186
557	234	185
558	234	184
559	234	184
560	234	183
561	235	183
562	235	182
563	235	182
564	236	181
565	236	181
566	236	180
567	236	180
568	237	179
569	237	179
570	237	178
571	237	178
572	238	177
573	238	176
574	238	176
575	239	175
576	239	175
577	239	174
578	239	174
579	240	173
580	240	173
581	240	172
582	240	172
583	241	171
584	241	171
585	241	170
586	242	170
587	242	169
588	242	169
589	242	168
590	243	168
591	243	167
592	243	167
593	243	166
594	244	166
595	244	165
596	244	165
597	244	164
598	245	164
599	245	163
600	245	163
601	246	162
602	246	162
603	246	161
604	246	161
605	247	160
606	247	160
607	247	159
608	247	159
609	248	158
610	248	158
611	248	157
612	248	157
613	249	156
614	249	156
615	249	155
616	250	155
617	250	154
618	250	154
619	250	153
620	251	153
621	251	152
622	251	152
623	251	151
624	252	151
625	252	150
626	252	150
627	252	149
628	253	149
629	253	148
630	253	148
631	253	147
632	254	147
633	254	146
634	254	146
635	255	145
636	255	145
637	255	145
638	255	144
639	256	144
640	256	143
641	256	143
642	256	142
643	257	142
644	257	141
645	257	141
646	258	140
647	258	140
648	258	139
649	258	139
650	259	138
651	259	138
652	259	138
653	259	137
654	260	137
655	260	136
656	260	136
657	261	135
658	261	135
659	261	134
660	261	134
661	262	133
662	262	133
663	262	132
664	262	132
665	263	131
666	263	131
667	263	131
668	263	130
669	264	130
670	264	129
671	264	129
672	265	128
673	265	128
674	265	127
675	265	127
676	266	127
677	266	126
678	266	126
679	267	125
680	267	125
681	267	124
682	267	124
683	268	123
684	268	123
685	268	122
686	268	122
687	269	122
688	269	121
689	269	121
690	269	120
691	270	120
692	270	119
693	270	119
694	270	118
695	271	118
696	271	118
697	271	117
698	272	117
699	272	116
700	272	116
701	272	115
702	273	115
703	273	114
704	273	114
705	273	114
706	274	113
707	274	113
708	274	112
709	275	112
710	275	111
711	275	111
712	275	111
713	276	110
714	276	110
715	276	109
716	276	109
717	277	108
718	277	108
719	277	107
720	277	107
721	278	107
722	278	106
723	278	106
724	279	105
725	279	105
726	279	104
727	279	104
728	280	104
729	280	103
730	280	103
731	280	102
