iter	Passed	Remaining
0	59	59069
1	59	29770
2	59	19933
3	60	15013
4	60	12081
5	61	10115
6	61	8728
7	61	7671
8	62	6860
9	62	6198
10	63	5671
11	63	5219
12	63	4844
13	64	4517
14	64	4231
15	64	3982
16	65	3766
17	65	3578
18	65	3405
19	66	3250
20	66	3107
21	66	2976
22	67	2862
23	67	2758
24	68	2660
25	68	2567
26	68	2480
27	69	2401
28	69	2325
29	69	2255
30	70	2191
31	70	2134
32	70	2077
33	71	2024
34	71	1975
35	71	1927
36	72	1880
37	72	1836
38	72	1794
39	73	1755
40	73	1718
41	73	1683
42	74	1649
43	74	1618
44	74	1588
45	75	1558
46	75	1529
47	75	1502
48	76	1475
49	76	1450
50	76	1426
51	77	1404
52	77	1381
53	77	1361
54	78	1341
55	78	1321
56	78	1301
57	79	1284
58	79	1265
59	79	1248
60	80	1234
61	80	1220
62	81	1205
63	81	1189
64	81	1177
65	82	1162
66	82	1149
67	82	1135
68	83	1123
69	83	1109
70	83	1097
71	84	1084
72	84	1072
73	84	1061
74	85	1049
75	85	1037
76	85	1027
77	86	1016
78	86	1006
79	86	997
80	87	987
81	87	977
82	87	966
83	87	956
84	88	949
85	88	940
86	88	931
87	89	924
88	89	916
89	90	910
90	90	902
91	90	894
92	91	888
93	91	881
94	91	875
95	92	869
96	92	861
97	92	854
98	93	847
99	93	841
100	93	835
101	94	829
102	94	822
103	94	816
104	95	810
105	95	805
106	95	799
107	96	794
108	96	789
109	97	784
110	97	779
111	97	774
112	98	770
113	98	765
114	98	761
115	99	756
116	99	750
117	99	745
118	100	740
119	100	736
120	100	731
121	101	727
122	101	723
123	101	719
124	102	715
125	102	711
126	102	705
127	102	701
128	103	697
129	103	693
130	103	689
131	104	685
132	104	681
133	104	678
134	105	675
135	105	671
136	106	668
137	106	665
138	106	662
139	107	658
140	107	655
141	107	650
142	108	647
143	108	644
144	108	641
145	109	638
146	109	635
147	110	633
148	110	629
149	110	626
150	110	623
151	111	620
152	111	617
153	111	615
154	112	612
155	112	609
156	112	606
157	113	603
158	113	600
159	113	597
160	113	593
161	114	591
162	114	588
163	114	585
164	115	582
165	115	580
166	115	577
167	116	575
168	116	572
169	116	569
170	117	567
171	117	565
172	117	562
173	117	559
174	118	556
175	118	554
176	118	552
177	119	550
178	119	548
179	119	545
180	120	543
181	120	541
182	120	539
183	121	537
184	121	534
185	121	532
186	122	530
187	122	528
188	122	526
189	123	525
190	123	523
191	123	521
192	124	519
193	124	518
194	125	516
195	125	514
196	125	512
197	126	510
198	126	508
199	126	507
200	127	505
201	127	503
202	127	501
203	128	500
204	128	498
205	128	496
206	129	495
207	129	493
208	129	491
209	130	489
210	130	487
211	130	486
212	131	485
213	131	483
214	131	481
215	132	480
216	132	479
